team,result,odds,date,site,market
ARI,o8.5,-139,Aug09,bookmaker,wins
ARI,u8.5,122,Aug09,bookmaker,wins
ARI,o9.5,146,Aug09,bookmaker,wins
ARI,u9.5,-181,Aug09,bookmaker,wins
ATL,o6.5,-300,Aug09,bookmaker,wins
ATL,u6.5,233,Aug09,bookmaker,wins
ATL,o7.5,-142,Aug09,bookmaker,wins
ATL,u7.5,127,Aug09,bookmaker,wins
ATL,o8.5,139,Aug09,bookmaker,wins
ATL,u8.5,-171,Aug09,bookmaker,wins
BAL,o10.5,-285,Aug09,bookmaker,wins
BAL,u10.5,223,Aug09,bookmaker,wins
BAL,o11.5,-130,Aug09,bookmaker,wins
BAL,u11.5,113,Aug09,bookmaker,wins
BAL,o12.5,168,Aug09,bookmaker,wins
BAL,u12.5,-210,Aug09,bookmaker,wins
CAR,o5.5,-277,Aug09,bookmaker,wins
CAR,u5.5,217,Aug09,bookmaker,wins
CAR,o6.5,-128,Aug09,bookmaker,wins
CAR,u6.5,111,Aug09,bookmaker,wins
CAR,o7.5,148,Aug09,bookmaker,wins
CAR,u7.5,-183,Aug09,bookmaker,wins
CHI,o7.5,-145,Aug09,bookmaker,wins
CHI,u7.5,118,Aug09,bookmaker,wins
CHI,o8.5,144,Aug09,bookmaker,wins
CHI,u8.5,-160,Aug09,bookmaker,wins
CHI,o9.5,267,Aug09,bookmaker,wins
CHI,u9.5,-350,Aug09,bookmaker,wins
CIN,o8.5,-236,Aug09,bookmaker,wins
CIN,u8.5,188,Aug09,bookmaker,wins
CIN,o9.5,-110,Aug09,bookmaker,wins
CIN,u9.5,-106,Aug09,bookmaker,wins
CIN,o10.5,160,Aug09,bookmaker,wins
CIN,u10.5,-199,Aug09,bookmaker,wins
CLE,o4.5,-171,Aug09,bookmaker,wins
CLE,u4.5,139,Aug09,bookmaker,wins
CLE,o5.5,132,Aug09,bookmaker,wins
CLE,u5.5,-148,Aug09,bookmaker,wins
CLE,o6.5,261,Aug09,bookmaker,wins
CLE,u6.5,-340,Aug09,bookmaker,wins
DAL,o6.5,-300,Aug09,bookmaker,wins
DAL,u6.5,233,Aug09,bookmaker,wins
DAL,o7.5,-146,Aug09,bookmaker,wins
DAL,u7.5,130,Aug09,bookmaker,wins
DAL,o8.5,135,Aug09,bookmaker,wins
DAL,u8.5,-167,Aug09,bookmaker,wins
DEN,o8.5,-200,Aug09,bookmaker,wins
DEN,u8.5,161,Aug09,bookmaker,wins
DEN,o9.5,-109,Aug09,bookmaker,wins
DEN,u9.5,-107,Aug09,bookmaker,wins
DEN,o10.5,200,Aug09,bookmaker,wins
DEN,u10.5,-253,Aug09,bookmaker,wins
DET,o9.5,-186,Aug09,bookmaker,wins
DET,u9.5,150,Aug09,bookmaker,wins
DET,o10.5,118,Aug09,bookmaker,wins
DET,u10.5,-134,Aug09,bookmaker,wins
DET,o11.5,230,Aug09,bookmaker,wins
DET,u11.5,-295,Aug09,bookmaker,wins
GB,o8.5,-233,Aug09,bookmaker,wins
GB,u8.5,185,Aug09,bookmaker,wins
GB,o9.5,-128,Aug09,bookmaker,wins
GB,u9.5,112,Aug09,bookmaker,wins
GB,o10.5,159,Aug09,bookmaker,wins
GB,u10.5,-198,Aug09,bookmaker,wins
IND,o6.5,-250,Aug09,bookmaker,wins
IND,u6.5,198,Aug09,bookmaker,wins
IND,o7.5,-129,Aug09,bookmaker,wins
IND,u7.5,113,Aug09,bookmaker,wins
IND,o8.5,161,Aug09,bookmaker,wins
IND,u8.5,-200,Aug09,bookmaker,wins
JAX,o6.5,-260,Aug09,bookmaker,wins
JAX,u6.5,205,Aug09,bookmaker,wins
JAX,o7.5,-134,Aug09,bookmaker,wins
JAX,u7.5,118,Aug09,bookmaker,wins
JAX,o8.5,172,Aug09,bookmaker,wins
