team,odds,date,site,division,conference,market,result
BUF,-400.0,Aug11,bookmaker,AFC East,AFC,division,
MIA,800.0,Aug11,bookmaker,AFC East,AFC,division,
NE,606.0,Aug11,bookmaker,AFC East,AFC,division,
NYJ,2000.0,Aug11,bookmaker,AFC East,AFC,division,
BAL,-158.0,Aug11,bookmaker,AFC North,AFC,division,
CIN,271.0,Aug11,bookmaker,AFC North,AFC,division,
CLE,2653.0,Aug11,bookmaker,AFC North,AFC,division,
PIT,450.0,Aug11,bookmaker,AFC North,AFC,division,
HOU,-112.0,Aug11,bookmaker,AFC South,AFC,division,
IND,340.0,Aug11,bookmaker,AFC South,AFC,division,
JAX,300.0,Aug11,bookmaker,AFC South,AFC,division,
TEN,950.0,Aug11,bookmaker,AFC South,AFC,division,
DEN,292.0,Aug11,bookmaker,AFC West,AFC,division,
KC,-128.0,Aug11,bookmaker,AFC West,AFC,division,
LV,1936.0,Aug11,bookmaker,AFC West,AFC,division,
LAC,326.0,Aug11,bookmaker,AFC West,AFC,division,
DAL,,Aug11,bookmaker,NFC East,NFC,division,
NYG,,Aug11,bookmaker,NFC East,NFC,division,
PHI,,Aug11,bookmaker,NFC East,NFC,division,
WAS,,Aug11,bookmaker,NFC East,NFC,division,
CHI,502.0,Aug11,bookmaker,NFC North,NFC,division,
DET,144.0,Aug11,bookmaker,NFC North,NFC,division,
GB,243.0,Aug11,bookmaker,NFC North,NFC,division,
MIN,329.0,Aug11,bookmaker,NFC North,NFC,division,
ATL,229.0,Aug11,bookmaker,NFC South,NFC,division,
CAR,402.0,Aug11,bookmaker,NFC South,NFC,division,
NO,1307.0,Aug11,bookmaker,NFC South,NFC,division,
TB,-111.0,Aug11,bookmaker,NFC South,NFC,division,
ARI,425.0,Aug11,bookmaker,NFC West,NFC,division,
LA,171.0,Aug11,bookmaker,NFC West,NFC,division,
SF,164.0,Aug11,bookmaker,NFC West,NFC,division,
SEA,515.0,Aug11,bookmaker,NFC West,NFC,division,
BAL,321.0,Aug11,bookmaker,AFC North,AFC,conference,
BUF,306.0,Aug11,bookmaker,AFC East,AFC,conference,
CIN,977.0,Aug11,bookmaker,AFC North,AFC,conference,
CLE,14974.0,Aug11,bookmaker,AFC North,AFC,conference,
DEN,1623.0,Aug11,bookmaker,AFC West,AFC,conference,
HOU,1626.0,Aug11,bookmaker,AFC South,AFC,conference,
IND,7651.0,Aug11,bookmaker,AFC South,AFC,conference,
